query SELECT * FROM [histr],,,,,,,,,,,,,
sort,,,,,,,,,,,,,
columns,text Body,text Name of Body,text Date,text Transaction number,Amount,text Supplier name,text Supplier ID,text VAT reg no,text Expense area,text Expense code,text Expense type,text Costcuk,text Creditor type
,Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081932,"2,475.00",FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22082458,648.00,STEPHENSONS SOLICITORS,394642,294832719,"Chief Exec, Legal & Democratic services",A44968,Legal & Conveyancing Charges,R0276001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22079448,516.40,ELEMENTS THERAPY,403495,,Children's Social Care,A61060,Support for Children in Care,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22080043,660.00,ROOTS AND BLOOMS,398675,,Children's Social Care,A61060,Support for Children in Care,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22080325,714.00,FAMILY COMPASS,348346,392295664,Children's Social Care,A61060,Support for Children in Care,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22080327,"2,475.00",EXETER PAEDIATRIC I C S LIMITED,373429,,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081070,980.00,SENSORY BALANCE LIMITED,405405,,P-Ledger - Separate Legal Entity,A61060,Support for Children in Care,P0432008,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081452,"2,741.60",CURRYS GROUP LIMITED (MSTS REC AC),390252,226659933,Children's Social Care,A45005,IT Hardware,R0015001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081500,"9,750.00",IT Stress Free Ltd,603040,107653618,Commissioning,A44065,Consultancy Services,R0466001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081786,"4,465.53",Enerveo Limited,14967,382894546,Highways & Infrastructure Development,A44130,Street Lighting,R0567008,DCC CIS Suppliers
INSERTED DETAIL,18,Devon County Council,02/04/2026,22081985,"14,674.25",Waste and Resources Action Programme Ltd,600763,,P-Ledger - Separate Legal Entity,A44065,Consultancy Services,P0419001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
INSERTED DETAIL,18,Devon County Council,02/04/2026,22082010,"1,550.00",BRAIN IN HAND LIMITED,302869,985319969,Transformation & Business Services,A20020,Health and Safety,R0346002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
